time,open,high,low,close,volume,_symbol,_extracted_at,_source
2025-01-17,20.25,20.27,20.12,20.23,1174622,VIC,2026-02-10,VCI
2025-01-20,20.15,20.23,20.12,20.20,647933,VIC,2026-02-10,VCI
2025-01-21,20.27,20.27,20.15,20.23,1314921,VIC,2026-02-10,VCI
2025-01-22,20.25,20.25,20.05,20.20,1136198,VIC,2026-02-10,VCI
2025-01-23,20.20,20.32,20.12,20.20,1421586,VIC,2026-02-10,VCI
2025-01-24,20.12,20.25,20.10,20.20,1389220,VIC,2026-02-10,VCI
2025-02-03,20.10,20.15,19.95,20.02,1576949,VIC,2026-02-10,VCI
2025-02-04,20.02,20.10,19.92,20.05,1441966,VIC,2026-02-10,VCI
2025-02-05,20.10,20.23,20.02,20.02,1060865,VIC,2026-02-10,VCI
2025-02-06,20.18,20.27,20.02,20.23,1315728,VIC,2026-02-10,VCI
2025-02-07,20.25,20.35,20.12,20.32,1396794,VIC,2026-02-10,VCI
2025-02-10,20.18,20.18,20.00,20.00,1535989,VIC,2026-02-10,VCI
2025-02-11,20.00,20.05,19.92,19.98,1437497,VIC,2026-02-10,VCI
2025-02-12,19.98,20.05,19.95,19.95,941811,VIC,2026-02-10,VCI
2025-02-13,19.95,20.15,19.92,20.12,1054069,VIC,2026-02-10,VCI
2025-02-14,20.25,20.25,20.10,20.12,997968,VIC,2026-02-10,VCI
2025-02-17,20.12,20.20,20.02,20.05,854266,VIC,2026-02-10,VCI
2025-02-18,20.05,20.23,19.95,20.10,1201387,VIC,2026-02-10,VCI
2025-02-19,20.10,20.25,20.02,20.20,1576073,VIC,2026-02-10,VCI
2025-02-20,20.23,20.62,20.20,20.48,2940145,VIC,2026-02-10,VCI
2025-02-21,20.48,20.48,20.32,20.32,1334242,VIC,2026-02-10,VCI
2025-02-24,20.18,20.32,20.18,20.30,1541441,VIC,2026-02-10,VCI
2025-02-25,20.35,20.58,20.32,20.35,1794644,VIC,2026-02-10,VCI
2025-02-26,20.50,20.55,20.40,20.50,1367140,VIC,2026-02-10,VCI
2025-02-27,20.60,20.60,20.38,20.52,1442755,VIC,2026-02-10,VCI
2025-02-28,20.52,20.80,20.35,20.60,2774026,VIC,2026-02-10,VCI
2025-03-03,20.65,21.20,20.60,21.02,2861892,VIC,2026-02-10,VCI
2025-03-04,21.22,21.25,20.90,20.98,3059982,VIC,2026-02-10,VCI
2025-03-05,21.02,21.25,21.00,21.12,2910342,VIC,2026-02-10,VCI
2025-03-06,21.15,21.28,21.02,21.18,2631008,VIC,2026-02-10,VCI
2025-03-07,21.15,22.65,21.12,22.65,11513931,VIC,2026-02-10,VCI
2025-03-10,22.95,23.95,22.90,23.65,9921135,VIC,2026-02-10,VCI
2025-03-11,23.45,23.65,23.25,23.65,5701394,VIC,2026-02-10,VCI
2025-03-12,23.68,24.12,23.68,24.05,7010894,VIC,2026-02-10,VCI
2025-03-13,24.15,25.70,23.75,25.70,16433320,VIC,2026-02-10,VCI
2025-03-14,25.90,26.40,25.70,26.10,8435598,VIC,2026-02-10,VCI
2025-03-17,26.25,26.35,25.40,26.05,6510552,VIC,2026-02-10,VCI
2025-03-18,26.05,26.35,25.55,25.65,6023007,VIC,2026-02-10,VCI
2025-03-19,25.40,26.25,24.60,25.95,10353591,VIC,2026-02-10,VCI
2025-03-20,26.00,26.60,25.35,25.75,6636052,VIC,2026-02-10,VCI
2025-03-21,25.80,26.50,25.50,26.50,7491853,VIC,2026-02-10,VCI
2025-03-24,26.50,28.35,26.35,28.35,11915870,VIC,2026-02-10,VCI
2025-03-25,28.85,29.60,28.30,28.45,7951232,VIC,2026-02-10,VCI
2025-03-26,28.90,29.00,27.85,28.50,6498265,VIC,2026-02-10,VCI
2025-03-27,28.75,29.35,28.30,28.55,4575391,VIC,2026-02-10,VCI
2025-03-28,28.50,29.15,28.45,29.00,5548784,VIC,2026-02-10,VCI
2025-03-31,28.90,29.25,28.65,29.00,6660894,VIC,2026-02-10,VCI
2025-04-01,29.35,30.40,29.10,29.85,7768038,VIC,2026-02-10,VCI
2025-04-02,30.25,30.60,29.75,30.20,7322516,VIC,2026-02-10,VCI
2025-04-03,29.10,29.90,28.10,28.10,19225993,VIC,2026-02-10,VCI
2025-04-04,27.10,29.75,26.70,29.15,14566073,VIC,2026-02-10,VCI
2025-04-08,29.00,29.00,27.15,27.55,11583072,VIC,2026-02-10,VCI
2025-04-09,26.05,29.20,26.05,28.50,13010388,VIC,2026-02-10,VCI
2025-04-10,30.45,30.45,30.45,30.45,3810300,VIC,2026-02-10,VCI
2025-04-11,29.85,32.55,29.85,32.55,13375592,VIC,2026-02-10,VCI
2025-04-14,33.25,34.80,33.00,34.80,8836729,VIC,2026-02-10,VCI
2025-04-15,35.20,37.20,35.00,35.25,12287927,VIC,2026-02-10,VCI
2025-04-16,35.30,36.00,33.70,33.95,7559258,VIC,2026-02-10,VCI
