Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
VIC,2022,4,2.12,3.26,0.91,1.75,0.20,0.81,87.37,328.04,117.73,533.13,1.11,0.10,0.31,0.04,0.06,-0.04,0.02,10653159000000.00,3951056000000,0.95,0.10,0.62,-1.34,4.24,201757191176900.00,3813935561.00,23.30,1.83,1.98,-72.26,408.76,28865.93,35.13,VIC,2026-02-10,VCI
VIC,2022,3,2.06,3.05,0.84,1.77,0.19,0.78,96.31,304.87,195.75,596.92,1.20,0.00,0.20,0.03,0.01,-0.06,0.00,3111894000000.00,87341000000,0.94,0.09,0.64,-0.03,4.05,209766455855000.00,3813935561.00,256.70,1.89,2.21,19.34,248.24,29041.66,122.85,VIC,2026-02-10,VCI
VIC,2022,2,2.03,3.01,0.86,1.71,0.21,0.78,89.65,284.09,199.33,573.08,1.28,-0.71,-0.35,0.25,-0.00,-0.05,-0.00,4937247000000.00,-9464037000000,0.97,0.17,0.67,2.57,4.01,230361707884400.00,3813935561.00,-497.85,2.18,2.40,13.31,889.46,27704.60,75.23,VIC,2026-02-10,VCI
VIC,2022,1,1.85,2.28,0.94,1.74,0.28,0.95,63.22,228.50,175.77,467.48,1.60,-0.34,0.01,0.13,-0.02,-0.01,-0.01,15631008000000.00,-6119024000000,1.14,0.10,0.79,4.46,3.28,265068521489500.00,3813935561.00,-111.46,2.59,2.20,116.48,643.37,26834.02,26.97,VIC,2026-02-10,VCI
VIC,2021,4,1.40,1.68,0.82,2.06,0.30,0.98,52.32,231.34,76.01,359.66,1.58,-0.10,0.24,-0.17,-0.02,0.01,-0.01,18039966000000.00,-3295270000000,1.10,0.16,0.76,1.29,2.69,297105580201900.00,3813935561.00,-119.86,2.96,2.36,-21.21,-1563.75,26343.92,26.03,VIC,2026-02-10,VCI
VIC,2021,3,1.41,1.64,0.75,2.12,0.30,1.01,56.91,228.31,72.97,358.20,1.60,0.15,0.39,-0.01,0.03,0.01,0.01,14998498000000.00,4648889000000,1.22,0.17,0.84,-1.73,2.64,364920098456900.00,3805214791.00,86.35,3.67,2.88,-54.60,-92.33,26130.47,35.83,VIC,2026-02-10,VCI
VIC,2021,2,1.69,1.90,0.88,1.87,0.31,1.07,54.45,217.92,65.82,338.19,1.67,0.07,0.28,0.04,0.05,-0.00,0.01,11558042000000.00,2641433000000,1.05,0.16,0.70,-1.01,2.90,354265497042100.00,3805214791.00,58.20,3.97,2.67,30.06,381.02,23450.21,45.36,VIC,2026-02-10,VCI
VIC,2021,1,1.66,2.00,0.89,1.81,0.28,0.97,55.58,257.08,70.68,383.34,1.42,-0.07,0.14,0.09,0.05,-0.02,0.02,6453924986880.00,-1544035000000,1.00,0.16,0.62,0.57,3.00,351772781360000.00,3382430590.00,52.82,4.33,2.97,23.77,619.10,24021.52,80.59,VIC,2026-02-10,VCI
VIC,2020,4,1.64,2.11,0.92,1.76,0.27,0.94,53.96,292.97,70.66,417.58,1.25,-0.12,0.16,0.03,0.04,-0.01,0.01,6719667000000.00,-4197570000000,0.98,0.21,0.61,1.54,3.13,443098407290000.00,3382430590.00,82.58,5.59,4.01,28.28,326.02,23413.90,88.32,VIC,2026-02-10,VCI
VIC,2020,3,1.97,2.45,0.97,1.61,0.27,0.97,53.94,327.18,70.04,451.16,1.12,0.05,0.18,0.04,0.07,-0.00,0.02,10109073000000.00,1965760000000,1.00,0.17,0.60,-0.65,3.45,336213600646000.00,3382430590.00,39.62,4.10,2.98,24.39,455.31,24271.27,48.13,VIC,2026-02-10,VCI
