cp,năm,kỳ,tăng_trưởng_doanh_thu,doanh_thu_đồng,lợi_nhuận_sau_thuế_của_cổ_đông_công_ty_mẹ_đồng,tăng_trưởng_lợi_nhuận,thu_nhập_tài_chính,chi_phí_tiền_lãi_vay,doanh_thu_bán_hàng_và_cung_cấp_dịch_vụ,các_khoản_giảm_trừ_doanh_thu,doanh_thu_thuần,giá_vốn_hàng_bán,lãi_gộp,chi_phí_tài_chính,lãi_lỗ_từ_công_ty_liên_doanh,chi_phí_bán_hàng,chi_phí_quản_lý_dn,lãi_lỗ_từ_hoạt_động_kinh_doanh,thu_nhập_khác,lãi_lỗ_trong_công_ty_liên_doanh_liên_kết,thu_nhập_chi_phí_khác,lợi_nhuận_khác,ln_trước_thuế,chi_phí_thuế_tndn_hiện_hành,chi_phí_thuế_tndn_hoãn_lại,lợi_nhuận_thuần,cổ_đông_thiểu_số,cổ_đông_của_công_ty_mẹ,symbol,extracted_at,source
FPT,2018,3,-0.45,6047729557924,724917924600,0.24,124076383785,-62035657522,6047729557924,-11670624489,6036058933435,-3740388690646,2295670242789,-66603046663,112620018554,-507534958450,-900927435586,1057301204429,13190925207,0,-19815203633,-6624278426,1050676926003,-160198530011,-214570816,890263825176,165345900576,724917924600,FPT,2026-02-10,VCI
FPT,2018,2,-0.46,5479349328640,594282345873,0.16,112699870321,-55088753336,5479349328640,-5086604540,5474262724100,-3473590126697,2000672597403,-70016554956,117921377105,-451959254396,-829766036904,879551998573,27692097787,0,-929876011,26762221776,906314220349,-147070816024,-214570816,759028833509,164746487636,594282345873,FPT,2026-02-10,VCI
FPT,2018,1,-0.50,4756965340838,509013722111,0.23,153492560984,-46408615422,4756965340838,-6196729221,4750768611617,-2895208284813,1855560326804,-142295399439,97762341652,-422707405722,-770426481175,771385943104,33761809018,0,-24369541270,9392267748,780778210852,-106062709043,-21947069543,652768432266,143754710155,509013722111,FPT,2026-02-10,VCI
FPT,2017,4,0.00,12661494286639,1419645450459,1.15,1135241449538,-70422375454,12661494286639,-165756933974,12495737352665,-9645315336292,2850422016373,-128504532260,37741436879,-868666020456,-1104104575075,1922129774999,29884696213,0,-11819589933,18065106280,1940194881279,-347754157643,-25197182552,1567243541084,147598090625,1419645450459,FPT,2026-02-10,VCI
FPT,2017,3,0.00,10973968764817,582640652429,0.00,174827996803,-85119266199,10973968764817,-142770727372,10831198037445,-8415361412069,2415836625376,-138678362738,10845866292,-756295421886,-824284528308,882252175539,35213205592,0,-35812634158,-599428566,881652746973,-145050581744,7428830805,744030996034,161390343605,582640652429,FPT,2026-02-10,VCI
FPT,2017,2,0.10,10089127514119,511685685004,-0.01,162595733081,-100132120954,10089127514119,-142424915339,9946702598780,-7515123047941,2431579550839,-188908861759,10544051485,-722126928368,-914566795503,779116749775,16805228346,0,-12439019431,4366208915,783482958690,-98141264517,-14884471894,670457222279,158771537275,511685685004,FPT,2026-02-10,VCI
FPT,2017,1,0.10,9606952451575,412899887330,0.19,165921890251,-112871916941,9606952451575,-188832883954,9418119567621,-7342606178604,2075513389017,-200267169456,10193812104,-729390435161,-692060517287,629910969468,26062430404,0,-12728605121,13333825283,643244794751,-107047737440,4142876155,540339933466,127440046136,412899887330,FPT,2026-02-10,VCI
FPT,2016,4,0.20,12615351927832,661138145325,-0.00,240044516526,-102512653453,12615351927832,-215778838062,12399573089770,-9612445517435,2787127572335,-279516757986,9851435054,-840785657504,-930675552502,986045555923,33744471774,0,-17492788425,16251683349,1002297239272,-177169809141,6399395436,831526825567,170388680242,661138145325,FPT,2026-02-10,VCI
FPT,2016,3,0.02,9963512585089,467811292728,0.20,139922422113,-104295791626,9963512585089,-208224234993,9755288350096,-7538707301267,2216581048829,-192112127954,7952766676,-698480385735,-724849944238,749013779691,16804138916,0,-11731785178,5072353738,754086133429,-87796091824,1175755492,667465797097,199654504369,467811292728,FPT,2026-02-10,VCI
FPT,2016,2,-0.03,9213317509766,516003095436,0.13,159032637935,-107257164992,9213317509766,-254791077187,8958526432579,-7024976073110,1933550359469,-223845440891,9941580589,-574760435470,-629558175148,674360526484,32176848795,0,-11767717682,20409131113,694769657597,-74546875005,9966818431,630189601023,114186505587,516003095436,FPT,2026-02-10,VCI
