cp,năm,kỳ,lãi_lỗ_ròng_trước_thuế,khấu_hao_tscđ,dự_phòng_rr_tín_dụng,lãi_lỗ_chênh_lệch_tỷ_giá_chưa_thực_hiện,lãi_lỗ_từ_thanh_lý_tài_sản_cố_định,lãi_lỗ_từ_hoạt_động_đầu_tư,thu_nhập_lãi,thu_lãi_và_cổ_tức,lưu_chuyển_tiền_thuần_từ_hđkd_trước_thay_đổi_vlđ,tăng_giảm_các_khoản_phải_thu,tăng_giảm_hàng_tồn_kho,tăng_giảm_các_khoản_phải_trả,tăng_giảm_chi_phí_trả_trước,chi_phí_lãi_vay_đã_trả,tiền_thu_nhập_doanh_nghiệp_đã_trả,tiền_thu_khác_từ_các_hoạt_động_kinh_doanh,tiền_chi_khác_từ_các_hoạt_động_kinh_doanh,lưu_chuyển_tiền_tệ_ròng_từ_các_hoạt_động_sxkd,mua_sắm_tscđ,tiền_thu_được_từ_thanh_lý_tài_sản_cố_định,tiền_chi_cho_vay_mua_công_cụ_nợ_của_đơn_vị_khác_đồng,tiền_thu_hồi_cho_vay_bán_lại_các_công_cụ_nợ_của_đơn_vị_khác_đồng,đầu_tư_vào_các_doanh_nghiệp_khác,tiền_thu_từ_việc_bán_các_khoản_đầu_tư_vào_doanh_nghiệp_khác,tiền_thu_cổ_tức_và_lợi_nhuận_được_chia,lưu_chuyển_từ_hoạt_động_đầu_tư,tăng_vốn_cổ_phần_từ_góp_vốn_và_hoặc_phát_hành_cổ_phiếu,chi_trả_cho_việc_mua_lại_trả_cổ_phiếu,tiền_thu_được_các_khoản_đi_vay,tiền_trả_các_khoản_đi_vay,cổ_tức_đã_trả,lưu_chuyển_tiền_từ_hoạt_động_tài_chính,lưu_chuyển_tiền_thuần_trong_kỳ,tiền_và_tương_đương_tiền,ảnh_hưởng_của_chênh_lệch_tỷ_giá,tiền_và_tương_đương_tiền_cuối_kỳ,symbol,extracted_at,source,tiền_thanh_toán_vốn_gốc_đi_thuê_tài_chính
VNM,2023,2,2727998544003.00,515807377104.00,4716037403.00,11071666376.00,0.00,-360411240906.00,95970637757.00,0.00,3069899179578.00,662820622520.00,291256666371.00,-521773785211.00,23859555186.00,-98141291364.00,-7391288214.00,0.00,-89110014039.00,3331419644827.00,-511069025115.00,25484345483.00,-2468710659705.00,-595311888127.00,0.00,0.00,183478453851.00,-3366128773613.00,338100000000.00,-142548827636.00,3233083516768.00,-3789115747176.00,-35001066500.00,-395482124544.00,-430191253330.00,2011202511723.00,1495433814.00,1582506692207.00,VNM,2026-02-10,VCI,
VNM,2023,1,2312046425953.00,529307916114.00,4416470035.00,-10136208614.00,0.00,-322449210933.00,82291916805.00,0.00,2670410792851.00,-443861503618.00,-1251259683318.00,128549496304.00,-52896323660.00,-69373556896.00,-414525307219.00,0.00,-438254973999.00,128788940445.00,-357267370903.00,22907922254.00,0.00,595311888127.00,-11875000000.00,0.00,225679908509.00,474757347987.00,0.00,0.00,4497529706931.00,-2462185467993.00,-2925937623000.00,-890593384062.00,-287047095630.00,2299943527624.00,-1693920271.00,2011202511723.00,VNM,2026-02-10,VCI,
VNM,2022,4,2295242241835.00,518465696774.00,18795035435.00,-37709125252.00,0.00,-309790581815.00,53226546796.00,0.00,2621819923631.00,-323856956229.00,100113197805.00,587684749308.00,-24722822830.00,-72895032400.00,-1182224363703.00,0.00,-68713560259.00,1637205135323.00,-544290990514.00,31517617681.00,0.00,2114126507322.00,-12275000000.00,0.00,439122953860.00,2028201088349.00,338100000000.00,0.00,74460006848.00,-4575198249609.00,-68054218220.00,-4230692460981.00,-565286237309.00,2867857717514.00,-2627952581.00,2299943527624.00,VNM,2026-02-10,VCI,
VNM,2022,3,2859883167325.00,519932114467.00,2508921921.00,8347587934.00,0.00,-304758106018.00,49942302240.00,0.00,3217130306317.00,145032717998.00,1170617557118.00,49012854865.00,-41625935038.00,-30200578249.00,-4319705578.00,0.00,-270371253685.00,4235275963748.00,-275135514383.00,32678492852.00,0.00,-542595808761.00,0.00,0.00,338287929867.00,-446764900425.00,0.00,0.00,2108262740353.00,-2424633276675.00,-5120390840250.00,-5436761376572.00,-1648250313249.00,4507497088287.00,8610942476.00,2867857717514.00,VNM,2026-02-10,VCI,
VNM,2022,2,2576057643749.00,519680313013.00,-23118769821.00,18765937820.00,0.00,-316464029016.00,36701642341.00,0.00,2899765051796.00,111504280918.00,554691597850.00,-288064121816.00,27917606527.00,-13859036144.00,-313608928018.00,0.00,-168342875725.00,2810003575388.00,-376750770688.00,41247791036.00,0.00,1468401014877.00,0.00,0.00,188785840560.00,1321683875785.00,0.00,0.00,-161958314770.00,-1096336875705.00,-52516937250.00,-1310812127725.00,2820875323448.00,1680858133124.00,5763631715.00,4507497088287.00,VNM,2026-02-10,VCI,
VNM,2022,1,2764351623836.00,537371734423.00,-2758112613.00,13818366371.00,0.00,-255201025309.00,26168600367.00,0.00,3164756998863.00,-220757350364.00,-974159283034.00,-734666056911.00,-34688910773.00,-24349437056.00,-475136766140.00,0.00,-556210692528.00,144788502057.00,-260736777031.00,31681656288.00,0.00,594783333169.00,-30900000000.00,0.00,234823238963.00,569651451389.00,0.00,0.00,4236765622155.00,-2692851399800.00,-2925937623000.00,-1382023400645.00,-667583447199.00,2348551874348.00,-110294025.00,1680858133124.00,VNM,2026-02-10,VCI,
VNM,2021,4,2688037023963.00,534531930191.00,31150685652.00,-945595838.00,0.00,-259127588460.00,23606131783.00,0.00,3112079516133.00,196920958051.00,-504395056818.00,133391669295.00,17733217659.00,-38442032429.00,-1443094434863.00,0.00,-163732710514.00,1310461126514.00,-476734934789.00,34591138702.00,-1270955615962.00,0.00,-18905857575.00,0.00,388908926691.00,-1343096342933.00,22540000000.00,0.00,3644283404234.00,-3305731540656.00,-44669622900.00,316422240678.00,283787024259.00,2051857098275.00,12907751814.00,2348551874348.00,VNM,2026-02-10,VCI,
VNM,2021,3,3586603289912.00,539359820888.00,2034675583.00,4153986284.00,0.00,-313784164169.00,-46532738825.00,0.00,3852210792259.00,240227639444.00,361721935211.00,236770041444.00,40181414369.00,-35611697178.00,-351391408402.00,0.00,-288672021480.00,4055436695667.00,-638146714343.00,37633032244.00,210878872106.00,0.00,0.00,0.00,316720627688.00,-72914182305.00,0.00,0.00,2331816027715.00,-2779299380232.00,-3134933167500.00,-3582416520017.00,400105993345.00,1663036014269.00,-11284909339.00,2051857098275.00,VNM,2026-02-10,VCI,
VNM,2021,2,3493684950239.00,547756789868.00,-3508982145.00,-3585620065.00,0.00,-246530287511.00,28072255034.00,0.00,3893497863282.00,-912285302715.00,-480784663584.00,383647905131.00,89748086761.00,-8489668682.00,-12962786832.00,0.00,-75004249781.00,2877367183580.00,-241674993139.00,31248056978.00,-424540543341.00,0.00,-4321875000.00,1336500000.00,149433956359.00,-488518898143.00,196000000000.00,0.00,911102897822.00,-682111123596.00,-2351459800500.00,-1926468026274.00,462380259163.00,1197956795582.00,2698959524.00,1663036014269.00,VNM,2026-02-10,VCI,
VNM,2021,1,3153910222805.00,499689193833.00,3789250096.00,-1281139009.00,0.00,-241554937720.00,12905990201.00,0.00,3494031135649.00,-41714113141.00,-1637223057031.00,730238705657.00,-147546962653.00,-15796286643.00,-549149282272.00,0.00,-644131581434.00,1188708558132.00,-174468716999.00,30432767605.00,-2029848548257.00,150000000.00,0.00,0.00,145015833823.00,-2028718663828.00,99320664553.00,0.00,2709758030232.00,-784318154711.00,-2089695872250.00,-64935332176.00,-904945437872.00,2111242815581.00,-8340582127.00,1197956795582.00,VNM,2026-02-10,VCI,
