Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source,symbol
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,,
VIC,2022,2,2.03,3.01,0.86,1.71,0.21,0.78,89.65,284.09,199.33,573.08,1.28,-0.71,-0.35,0.25,-0.00,-0.05,-0.00,4937247000000.00,-9464037000000,,0.97,0.17,0.67,2.57,4.01,230361707884400.00,3813935561.00,-497.85,2.18,2.40,13.31,889.46,27704.60,75.23,VIC,2026-02-10,VCI,VIC
VIC,2022,1,1.85,2.28,0.94,1.74,0.28,0.95,63.22,228.50,175.77,467.48,1.60,-0.34,0.01,0.13,-0.02,-0.01,-0.01,15631008000000.00,-6119024000000,,1.14,0.10,0.79,4.46,3.28,265068521489500.00,3813935561.00,-111.46,2.59,2.20,116.48,643.37,26834.02,26.97,VIC,2026-02-10,VCI,VIC
VIC,2021,4,1.40,1.68,0.82,2.06,0.30,0.98,52.32,231.34,76.01,359.66,1.58,-0.10,0.24,-0.17,-0.02,0.01,-0.01,18039966000000.00,-3295270000000,,1.10,0.16,0.76,1.29,2.69,297105580201900.00,3813935561.00,-119.86,2.96,2.36,-21.21,-1563.75,26343.92,26.03,VIC,2026-02-10,VCI,VIC
VIC,2021,3,1.41,1.64,0.75,2.12,0.30,1.01,56.91,228.31,72.97,358.20,1.60,0.15,0.39,-0.01,0.03,0.01,0.01,14998498000000.00,4648889000000,,1.22,0.17,0.84,-1.73,2.64,364920098456900.00,3805214791.00,86.35,3.67,2.88,-54.60,-92.33,26130.47,35.83,VIC,2026-02-10,VCI,VIC
VIC,2021,2,1.69,1.90,0.88,1.87,0.31,1.07,54.45,217.92,65.82,338.19,1.67,0.07,0.28,0.04,0.05,-0.00,0.01,11558042000000.00,2641433000000,,1.05,0.16,0.70,-1.01,2.90,354265497042100.00,3805214791.00,58.20,3.97,2.67,30.06,381.02,23450.21,45.36,VIC,2026-02-10,VCI,VIC
VIC,2021,1,1.66,2.00,0.89,1.81,0.28,0.97,55.58,257.08,70.68,383.34,1.42,-0.07,0.14,0.09,0.05,-0.02,0.02,6453924986880.00,-1544035000000,,1.00,0.16,0.62,0.57,3.00,351772781360000.00,3382430590.00,52.82,4.33,2.97,23.77,619.10,24021.52,80.59,VIC,2026-02-10,VCI,VIC
VIC,2020,4,1.64,2.11,0.92,1.76,0.27,0.94,53.96,292.97,70.66,417.58,1.25,-0.12,0.16,0.03,0.04,-0.01,0.01,6719667000000.00,-4197570000000,,0.98,0.21,0.61,1.54,3.13,443098407290000.00,3382430590.00,82.58,5.59,4.01,28.28,326.02,23413.90,88.32,VIC,2026-02-10,VCI,VIC
VIC,2020,3,1.97,2.45,0.97,1.61,0.27,0.97,53.94,327.18,70.04,451.16,1.12,0.05,0.18,0.04,0.07,-0.00,0.02,10109073000000.00,1965760000000,,1.00,0.17,0.60,-0.65,3.45,336213600646000.00,3382430590.00,39.62,4.10,2.98,24.39,455.31,24271.27,48.13,VIC,2026-02-10,VCI,VIC
VIC,2020,2,1.90,2.45,0.97,1.60,0.27,1.03,46.00,368.74,77.10,491.84,0.99,-0.01,0.15,0.09,0.06,0.01,0.02,11824251388903.00,-343514000000,,0.96,0.14,0.54,0.11,3.45,340610760413000.00,3382430590.00,45.60,4.20,3.14,-278.16,604.81,24002.88,41.83,VIC,2026-02-10,VCI,VIC
VIC,2020,1,1.72,2.39,0.93,1.58,0.33,1.30,37.08,306.38,66.34,409.81,1.19,-0.12,0.13,0.03,0.06,0.04,0.02,18650040121892.00,-1894924000000,,1.00,0.10,0.55,0.72,3.39,282432954265000.00,3382430590.00,41.28,3.63,2.27,-69.55,129.62,23006.52,23.69,VIC,2026-02-10,VCI,VIC
VIC,2019,4,1.67,2.35,0.90,1.56,0.38,1.65,34.01,279.63,63.81,377.46,1.31,-0.00,0.23,0.12,0.07,0.04,0.02,18963011000000.00,-74763000000,,1.09,0.15,0.63,0.04,3.39,311183614280000.00,3382430590.00,41.83,4.07,2.39,19.77,1362.16,22592.47,23.20,VIC,2026-02-10,VCI,VIC
VIC,2019,3,1.27,1.85,0.63,1.62,0.40,2.04,28.10,231.27,62.98,322.36,1.58,0.14,0.36,0.02,0.04,0.06,0.01,20047514125137.00,4452317525752,,1.10,0.11,0.59,-2.01,2.85,388641274791000.00,3382430590.00,84.42,5.05,2.97,-73.66,147.12,22740.62,25.81,VIC,2026-02-10,VCI,VIC
VIC,2019,2,1.27,1.68,0.63,1.63,0.41,2.23,28.20,207.04,58.52,293.76,1.76,0.16,0.33,0.03,0.04,0.05,0.02,16229768144642.00,6335864834215,,1.30,0.19,0.91,-4.41,2.68,400173872524400.00,3345935389.00,82.48,4.97,3.26,105.47,407.15,24051.80,31.69,VIC,2026-02-10,VCI,VIC
VIC,2019,1,1.58,2.07,0.50,1.32,0.41,2.55,27.75,217.11,56.21,301.06,1.68,-0.00,0.22,0.05,0.04,0.04,0.01,13495913944327.00,-29597977846,,1.24,0.06,0.79,0.02,3.07,409877085152500.00,3345935389.00,113.90,7.46,3.54,-77.37,310.30,16424.87,40.16,VIC,2026-02-10,VCI,VIC
VIC,2018,4,1.44,1.91,0.48,1.28,0.49,2.87,19.97,219.89,45.19,285.05,1.66,0.06,0.20,0.06,0.05,0.06,0.02,16598493160965.00,2394674000000,,1.24,0.12,0.73,-2.83,2.92,362887333851000.00,3191621230.00,98.61,6.77,2.98,-33.91,758.22,16793.42,27.86,VIC,2026-02-10,VCI,VIC
VIC,2018,3,1.26,1.73,0.44,1.27,0.49,3.00,19.88,209.67,42.00,271.55,1.74,0.06,0.28,0.03,0.05,0.08,0.02,18266391401737.00,1523800737730,,1.17,0.15,0.76,-1.44,2.73,331609445797000.00,3191621230.00,86.21,6.36,2.83,18.94,192.30,16324.91,23.60,VIC,2026-02-10,VCI,VIC
VIC,2018,2,0.00,0.00,0.47,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.25,0.01,0.00,0.00,0.00,0.00,4518962414250,,0.00,0.00,0.00,-4.33,2.86,308310610818000.00,3191621230.00,85.02,7.37,2.66,21.90,54.65,13105.01,18.10,VIC,2026-02-10,VCI,VIC
VIC,2018,1,1.45,2.76,0.62,0.77,0.50,3.15,19.93,249.94,42.62,312.49,1.46,0.11,0.24,0.03,0.08,0.11,0.02,16946200572070.00,3187266226067,,0.78,0.06,0.38,-3.21,3.76,339588498872000.00,3191621230.00,79.33,8.45,3.28,12.08,288.08,12587.56,22.85,VIC,2026-02-10,VCI,VIC
VIC,2017,4,1.53,3.07,0.68,0.68,0.45,2.86,18.21,324.55,42.73,385.50,1.12,0.14,0.28,0.06,0.09,0.11,0.02,15536251153832.00,4638056090859,,0.81,0.07,0.36,-8.37,4.11,332351202204000.00,2637707954.00,74.48,10.49,3.72,19.80,810.87,12008.25,23.92,VIC,2026-02-10,VCI,VIC
VIC,2017,3,1.63,3.12,0.60,0.64,0.42,2.93,20.91,309.52,46.90,377.33,1.18,0.11,0.32,0.02,0.04,0.09,0.01,12405092412961.00,2415049033328,,0.88,0.06,0.42,-2.13,4.12,224205176090000.00,2637707954.00,115.38,8.11,2.77,27.74,149.15,10482.11,21.24,VIC,2026-02-10,VCI,VIC
VIC,2017,2,1.77,3.47,0.67,0.56,0.38,2.68,18.53,331.97,48.58,399.08,1.10,0.14,0.31,0.04,0.04,0.08,0.01,10848258364870.00,2833382187540,,0.83,0.08,0.36,-3.16,4.47,152987061332000.00,2637707954.00,88.68,5.68,2.19,12.17,314.38,10207.55,17.29,VIC,2026-02-10,VCI,VIC
VIC,2017,1,1.92,3.34,0.61,0.56,0.34,2.42,28.99,345.44,54.21,428.64,1.06,0.11,0.34,0.06,0.04,0.06,0.01,8702201297134.00,1633064993401,,0.88,0.13,0.38,-2.19,4.34,113157671226600.00,2637707954.00,66.97,4.31,1.90,27.88,335.82,9947.55,16.57,VIC,2026-02-10,VCI,VIC
VIC,2016,4,1.63,2.99,0.56,0.58,0.35,2.47,18.06,354.08,55.27,427.42,1.03,0.07,0.31,-0.01,0.06,0.00,0.01,8586612117590.00,1656619560000,,0.90,0.10,0.39,-0.93,4.03,107882255318600.00,2637707954.00,44.22,4.01,1.87,23.98,-62.65,10191.54,16.05,VIC,2026-02-10,VCI,VIC
VIC,2016,3,2.03,3.13,0.56,0.54,0.31,2.24,31.29,334.55,56.44,422.28,1.09,0.10,0.32,0.02,0.05,0.00,0.01,8345468270929.00,1057480436844,,1.00,0.12,0.55,-1.77,4.13,112102588045000.00,2637707954.00,58.12,4.30,2.29,7.26,66.46,9884.13,17.64,VIC,2026-02-10,VCI,VIC
VIC,2016,2,0.00,0.00,0.52,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.26,0.08,0.00,0.00,0.00,0.00,98767301140,,0.00,0.00,0.00,-0.12,3.57,113025785828900.00,2637707954.00,55.70,3.50,2.48,5.00,289.98,12259.57,19.19,VIC,2026-02-10,VCI,VIC
VIC,2016,1,1.85,2.63,0.52,0.53,0.32,2.53,19.66,310.83,46.83,377.32,1.17,0.18,0.32,0.05,0.04,0.00,0.01,7955425178039.00,2609632016684,,1.06,0.09,0.67,-3.53,3.63,110891591788000.00,2153234792.00,70.59,3.86,2.62,3.80,361.62,13354.06,17.25,VIC,2026-02-10,VCI,VIC
VIC,2015,4,0.00,0.00,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.32,0.01,0.00,0.00,0.00,0.00,1971346261607,,0.00,0.00,0.00,-2.35,3.90,101842379677500.00,1939854851.00,80.67,4.24,2.99,3.52,96.60,12383.63,17.33,VIC,2026-02-10,VCI,VIC
VIC,2015,3,0.00,0.00,0.43,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.38,0.04,0.00,0.00,0.00,0.00,822532101381,,0.00,0.00,0.00,-2.28,3.98,85668222913000.00,1882818086.00,63.29,3.78,3.31,3.06,135.50,12023.31,19.00,VIC,2026-02-10,VCI,VIC
VIC,2015,2,2.13,2.60,0.41,0.40,0.28,1.21,16.99,340.86,35.68,393.53,1.07,0.15,0.35,0.05,0.09,0.00,0.02,7117118394600.00,895108885800,,1.24,0.22,0.72,-1.53,3.60,81951343256500.00,1849917455.00,40.90,2.97,3.12,4.77,156.39,14940.51,15.13,VIC,2026-02-10,VCI,VIC
VIC,2015,1,0.00,0.00,1.22,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.36,0.07,0.00,0.00,0.00,0.00,1248806813464,,0.00,0.00,0.00,-2.31,4.61,76840739160900.00,1842703577.00,29.35,2.91,2.75,5.72,232.24,14319.17,13.86,VIC,2026-02-10,VCI,VIC
VIC,2014,4,3.20,3.10,1.33,0.26,0.33,1.63,11.45,375.62,29.43,416.51,0.97,0.19,0.37,0.06,0.18,0.00,0.04,9703907089676.00,1178098667588,,1.42,0.56,0.74,-1.79,4.43,68517731384000.00,1457824072.00,20.54,3.35,2.47,6.56,243.68,14022.19,9.71,VIC,2026-02-10,VCI,VIC
VIC,2014,3,3.35,3.01,1.18,0.24,0.35,1.69,16.13,311.40,24.83,352.36,1.17,0.28,0.37,0.12,0.21,15.29,0.05,9511046813273.00,2154763862366,,1.96,0.67,1.23,-2.69,4.49,68800456135400.00,1454555098.00,17.73,3.73,2.43,653.25,611.38,12668.08,10.02,VIC,2026-02-10,VCI,VIC
VIC,2014,2,3.48,3.43,0.88,0.23,0.39,2.06,12.37,321.46,28.42,362.25,1.14,0.31,0.38,0.11,0.28,15.20,0.06,10102376530310.00,2350181588119,,1.70,0.52,1.10,-3.17,4.80,68381413148100.00,1421651001.00,14.15,3.90,2.35,23.50,604.10,12330.22,9.35,VIC,2026-02-10,VCI,VIC
VIC,2014,1,3.71,3.68,1.01,0.20,0.34,1.74,12.16,430.61,37.31,480.07,0.85,0.30,0.39,0.17,0.47,13.91,0.11,13005714455668.00,1845217690100,,1.70,0.61,0.99,-3.60,5.04,62596828350000.00,894240405.00,8.42,4.03,2.66,405.42,1202.88,17388.61,6.55,VIC,2026-02-10,VCI,VIC
VIC,2013,4,3.58,3.95,0.80,0.23,0.28,1.64,21.19,590.54,46.05,657.77,0.62,0.22,0.32,0.12,0.54,0.00,0.10,11789668539802.00,1515488333257,,1.49,0.49,0.78,-3.16,4.22,60808347540000.00,894240405.00,9.18,4.27,3.36,6.71,919.62,15924.77,6.93,VIC,2026-02-10,VCI,VIC
VIC,2013,3,2.27,2.74,0.69,0.21,0.25,1.23,24.33,788.86,73.75,886.94,0.46,0.35,0.39,0.22,0.47,8.54,0.11,10696952363456.00,2938734456299,,1.11,0.32,0.49,-12.98,3.76,64065307644000.00,908727768.00,10.51,3.91,4.44,9.62,2063.00,18045.63,7.26,VIC,2026-02-10,VCI,VIC
VIC,2013,2,2.47,2.97,0.90,0.19,0.13,0.61,51.51,1562.56,132.40,1746.47,0.23,0.23,0.45,1.77,0.38,7.75,0.08,8121270767571.00,486814389555,,1.22,0.25,0.45,-1.30,4.00,58158577152000.00,908727768.00,12.85,4.06,8.02,162.85,4175.37,15762.77,9.22,VIC,2026-02-10,VCI,VIC
VIC,2013,1,3.72,4.36,1.05,0.14,0.13,0.61,50.58,1428.55,105.92,1585.05,0.26,0.20,0.53,0.29,0.11,7.99,0.02,3802897170621.00,192308913980,,1.06,0.20,0.39,-0.45,5.43,59896809988500.00,928632713.00,53.30,5.52,8.55,-36.82,309.13,11685.38,20.77,VIC,2026-02-10,VCI,VIC
VIC,2008,2,0.00,0.00,0.24,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.75,0.62,0.00,0.00,0.00,0.00,23142176323,,0.00,0.00,0.00,-2.66,2.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VIC,2026-02-10,VCI,VIC
HPG,2025,4,0.91,0.97,1.02,1.71,0.65,1.55,17.94,137.39,63.44,218.77,2.66,0.12,0.14,0.08,0.13,0.09,0.06,28895883145722.00,5714129019562,0.00,1.10,0.09,0.54,-4.62,1.97,205318711621250.00,7675465855.00,13.29,1.59,1.32,13.08,503.03,16829.98,10.21,HPG,2026-02-10,VCI,HPG
HPG,2025,3,0.98,0.93,0.82,1.66,0.61,1.79,17.65,140.27,54.28,212.20,2.60,0.14,0.17,0.11,0.12,0.08,0.06,25611904933110.00,4932331977851,0.00,1.15,0.11,0.60,-6.07,1.93,209156444548750.00,7675465855.00,14.53,1.67,1.45,17.58,519.62,16342.68,11.67,HPG,2026-02-10,VCI,HPG
HPG,2025,2,0.99,0.98,0.53,1.59,0.63,1.98,16.03,137.62,54.65,208.29,2.65,0.15,0.18,0.12,0.12,0.08,0.06,23971069674678.00,5442064704912,0.00,1.13,0.12,0.56,-12.39,1.98,217599456989250.00,7675465855.00,16.20,1.79,1.53,56.27,554.56,15834.09,12.59,HPG,2026-02-10,VCI,HPG
HPG,2025,1,0.99,0.94,0.73,1.54,0.67,2.00,14.72,126.04,51.98,192.75,2.90,0.12,0.14,0.09,0.11,0.08,0.06,22752951358569.00,4339094411460,0.00,1.15,0.10,0.55,-6.92,1.94,197643245766250.00,7675465855.00,15.82,1.68,1.36,64.13,435.71,15334.70,12.29,HPG,2026-02-10,VCI,HPG
HPG,2024,4,0.96,0.96,0.59,1.49,0.67,1.99,13.61,122.55,53.14,189.29,2.98,0.10,0.13,0.08,0.11,0.07,0.06,21530395750845.00,3617378810991,0.00,1.15,0.09,0.54,-6.43,1.96,165343067670000.00,6396250200.00,13.75,1.45,1.19,25.02,439.11,17878.67,10.95,HPG,2026-02-10,VCI,HPG
HPG,2024,3,0.92,0.89,0.61,1.46,0.69,1.97,16.21,120.31,51.45,187.97,3.03,0.11,0.14,0.09,0.11,0.08,0.06,21671803666842.00,3689466990821,0.00,1.17,0.12,0.59,-7.03,1.89,165343067670000.00,6396250200.00,13.57,1.48,1.19,18.53,472.61,17446.15,10.88,HPG,2026-02-10,VCI,HPG
HPG,2024,2,0.85,0.90,0.64,1.42,0.69,1.87,16.22,119.55,52.11,187.88,3.05,0.10,0.13,0.08,0.11,0.08,0.06,20648884356500.00,4111552943160,0.00,1.15,0.18,0.60,-7.29,1.90,173018567910000.00,6396250200.00,15.49,1.59,1.30,18.62,518.94,16974.63,11.29,HPG,2026-02-10,VCI,HPG
HPG,2024,1,0.89,0.91,0.67,1.38,0.67,1.73,16.30,121.50,51.10,188.89,3.00,0.10,0.13,0.09,0.09,0.07,0.05,18793605149258.00,3196325674676,0.00,1.19,0.16,0.65,-5.03,1.91,182293130700000.00,6396250200.00,19.58,1.73,1.48,16.10,448.79,16497.24,13.17,HPG,2026-02-10,VCI,HPG
HPG,2023,4,0.74,0.83,0.70,1.34,0.66,1.67,13.74,121.11,48.45,183.30,3.01,0.11,0.13,0.09,0.07,0.06,0.04,16443221709448.00,3710717506314,0.00,1.16,0.17,0.67,-5.22,1.83,174152831715000.00,5814785700.00,25.48,1.69,1.46,20.15,511.24,17674.02,13.53,HPG,2026-02-10,VCI,HPG
HPG,2023,3,0.67,0.74,0.73,1.30,0.63,1.56,13.16,121.04,43.62,177.83,3.02,0.10,0.13,0.07,0.02,0.03,0.01,10769267825827.00,2715958703976,0.00,1.22,0.15,0.70,-3.17,1.74,157871431755000.00,5814785700.00,84.39,1.58,1.43,16.62,344.77,17161.96,19.15,HPG,2026-02-10,VCI,HPG
HPG,2023,2,0.71,0.80,0.70,1.27,0.66,1.65,11.97,121.11,43.45,176.53,3.01,0.08,0.11,0.05,-0.02,0.01,-0.01,8139831864337.00,2323559769746,0.00,1.24,0.19,0.77,-2.26,1.80,150021471060000.00,5814785700.00,-78.62,1.53,1.29,11.26,251.09,16816.32,24.26,HPG,2026-02-10,VCI,HPG
HPG,2023,1,0.74,0.82,0.73,1.26,0.67,1.75,11.51,136.88,53.35,201.74,2.67,0.03,0.06,0.01,0.01,0.03,0.00,11514341658713.00,918952248711,0.00,1.26,0.12,0.75,-0.93,1.82,156999213900000.00,5814785700.00,236.43,1.63,1.27,58.11,68.36,16569.30,18.23,HPG,2026-02-10,VCI,HPG
HPG,2022,4,0.72,0.77,0.74,1.25,0.81,2.02,10.24,114.35,51.01,175.59,3.19,-0.08,-0.03,-0.08,0.09,0.08,0.05,19850316769753.00,-1944205854382,0.00,1.29,0.13,0.74,2.08,1.77,120075324705000.00,5814785700.00,14.15,1.25,0.85,9.78,-342.50,16510.91,8.76,HPG,2026-02-10,VCI,HPG
HPG,2022,3,0.80,0.87,0.73,1.28,0.85,2.28,11.01,127.34,59.40,197.75,2.87,0.00,0.03,-0.05,0.18,0.14,0.09,30048051910113.00,71321899736,0.00,1.34,0.16,0.73,-0.09,1.87,116004974715000.00,5814785700.00,6.48,1.18,0.72,5.54,-305.11,16847.27,5.65,HPG,2026-02-10,VCI,HPG
HPG,2022,2,0.84,1.08,0.70,1.30,0.88,2.37,12.85,134.59,68.30,215.74,2.71,0.15,0.17,0.11,0.32,0.20,0.16,40839396195249.00,5683293979952,0.00,1.28,0.22,0.67,-7.92,2.08,113388321150000.00,5814785700.00,3.78,1.14,0.69,6.95,693.44,17161.70,4.00,HPG,2026-02-10,VCI,HPG
HPG,2022,1,0.75,0.88,0.71,1.29,0.93,2.36,12.41,128.66,70.52,211.59,2.84,0.21,0.23,0.19,0.41,0.25,0.20,45678706657840.00,9267765847496,0.00,1.39,0.26,0.83,-15.53,1.88,129669721110000.00,5814785700.00,3.63,1.31,0.80,3.78,1413.11,16993.45,3.74,HPG,2026-02-10,VCI,HPG
HPG,2021,4,0.78,0.96,0.76,1.18,0.97,2.22,10.88,115.55,62.67,189.10,3.16,0.19,0.21,0.17,0.46,0.25,0.22,43746584056502.00,8367170140789,0.00,1.28,0.31,0.71,-13.29,1.96,193677553169800.00,4472922706.00,5.62,2.14,1.29,7.25,1660.53,20260.99,5.52,HPG,2026-02-10,VCI,HPG
HPG,2021,3,0.93,1.07,0.81,1.10,0.86,1.94,14.81,137.59,73.69,226.09,2.65,0.29,0.31,0.27,0.45,0.24,0.21,40973097690697.00,11042191518823,0.00,1.33,0.19,0.69,-16.36,2.07,196808599064000.00,4472922706.00,6.21,2.34,1.51,14.75,2314.31,18810.15,5.97,HPG,2026-02-10,VCI,HPG
HPG,2021,2,0.97,1.16,0.91,0.96,0.85,1.84,14.14,122.69,67.98,204.81,2.98,0.30,0.33,0.28,0.39,0.22,0.18,34262109926758.00,10692229101251,0.00,1.19,0.21,0.61,-17.83,2.16,254062009700800.00,4472922706.00,10.12,3.44,2.18,15.41,2173.39,16499.37,8.63,HPG,2026-02-10,VCI,HPG
HPG,2021,1,1.11,1.10,1.02,0.86,0.82,1.76,15.10,111.45,62.23,188.78,3.27,0.24,0.26,0.22,0.31,0.18,0.14,26492207628288.00,7562489000222,0.00,1.24,0.27,0.70,-12.17,2.10,201057875634700.00,4472922706.00,11.09,3.04,1.97,20.34,1559.95,14765.18,9.16,HPG,2026-02-10,VCI,HPG
HPG,2020,4,1.21,1.22,1.11,0.77,0.77,1.86,13.47,117.51,71.02,202.00,3.11,0.22,0.24,0.18,0.25,0.15,0.12,21898737562815.00,5769851557160,0.00,1.09,0.26,0.59,-8.72,2.22,182561874510900.00,3313282659.00,13.57,3.09,2.03,15.76,1399.78,17828.55,10.15,HPG,2026-02-10,VCI,HPG
HPG,2020,3,1.21,1.14,0.95,0.72,0.75,1.87,15.36,110.67,72.52,198.55,3.30,0.19,0.21,0.15,0.21,0.14,0.10,18025635069060.00,4707306083062,0.00,1.20,0.16,0.62,-8.70,2.14,129715016099850.00,3313282659.00,12.10,2.37,1.58,8.25,1138.66,16538.85,9.40,HPG,2026-02-10,VCI,HPG
HPG,2020,2,1.20,1.14,0.88,0.69,0.69,2.10,15.39,120.71,75.81,211.91,3.02,0.16,0.18,0.13,0.18,0.12,0.08,15113852600073.00,3290947994368,0.00,1.16,0.22,0.54,-6.29,2.14,102380434163100.00,3313282659.00,11.77,1.95,1.41,10.50,827.83,15816.55,9.11,HPG,2026-02-10,VCI,HPG
HPG,2020,1,1.23,1.14,0.92,0.65,0.68,2.56,15.53,120.73,76.83,213.10,3.02,0.17,0.20,0.12,0.17,0.12,0.08,13935311698969.00,3351974905826,0.00,1.15,0.21,0.49,-6.97,2.14,77862290043000.00,2761074115.00,9.74,1.56,1.15,11.23,827.68,18065.72,8.13,HPG,2026-02-10,VCI,HPG
HPG,2019,4,1.18,1.13,0.65,0.62,0.71,2.89,14.28,117.10,85.26,216.64,3.12,0.14,0.16,0.11,0.17,0.12,0.08,12336265404756.00,2459870445038,0.00,1.13,0.17,0.41,-9.10,2.13,61019737941500.00,2761074115.00,8.11,1.28,0.96,7.91,694.30,17248.15,7.73,HPG,2026-02-10,VCI,HPG
HPG,2019,3,1.28,1.12,0.33,0.60,0.68,4.30,14.79,113.85,83.54,212.18,3.21,0.15,0.18,0.12,0.17,0.11,0.08,11855341499903.00,2324979628045,0.00,1.24,0.16,0.47,-8.74,2.12,69855175109500.00,2761074115.00,9.50,1.52,1.16,21.10,635.53,16612.00,8.79,HPG,2026-02-10,VCI,HPG
HPG,2019,2,1.23,1.10,0.31,0.58,0.73,4.40,15.46,109.42,83.54,208.41,3.34,0.17,0.19,0.13,0.19,0.13,0.10,12498509200416.00,2651507902805,0.00,1.31,0.26,0.62,-12.31,2.10,60191415707000.00,2761074115.00,7.52,1.36,1.02,7.56,737.10,15976.48,7.10,HPG,2026-02-10,VCI,HPG
HPG,2019,1,1.16,1.01,0.33,0.55,0.78,4.36,15.12,107.56,68.06,190.74,3.39,0.15,0.18,0.12,0.21,0.14,0.11,12460662116072.00,2306677075742,0.00,1.28,0.28,0.70,-12.46,2.01,61019737941500.00,2761074115.00,7.48,1.45,1.06,8.74,652.21,15239.35,6.86,HPG,2026-02-10,VCI,HPG
HPG,2018,4,0.91,0.93,0.31,0.53,0.85,4.30,13.99,107.77,67.05,188.82,3.39,0.15,0.18,0.12,0.23,0.16,0.13,12809592322260.00,2159491091356,0.00,1.12,0.11,0.49,-14.90,1.93,70301327194600.00,2123907166.00,8.20,1.74,1.26,9.20,830.65,19066.74,6.91,HPG,2026-02-10,VCI,HPG
HPG,2018,3,0.80,0.80,0.34,0.51,0.90,4.14,14.75,111.67,38.63,165.05,3.27,0.21,0.23,0.17,0.26,0.18,0.15,13496796176344.00,3022951872378,0.00,1.48,0.19,0.80,-21.34,1.80,61593307814000.00,2123907166.00,6.69,1.58,1.14,8.63,1130.91,18316.78,5.91,HPG,2026-02-10,VCI,HPG
HPG,2018,2,0.00,0.00,0.36,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.20,0.15,0.00,0.00,0.00,0.00,2660408095886,0.00,0.00,0.00,0.00,-19.67,1.69,82195207324200.00,2123907166.00,9.12,2.25,1.56,11.22,1033.75,17185.75,7.20,HPG,2026-02-10,VCI,HPG
HPG,2018,1,0.42,0.58,0.38,0.45,1.00,3.81,13.65,111.06,34.48,159.19,3.29,0.21,0.23,0.17,0.28,0.21,0.17,12150511172900.00,2707143764340,0.00,1.89,0.38,1.24,-22.94,1.58,78690760500300.00,2123907166.00,9.14,1.64,1.61,8.81,1041.13,22613.81,6.95,HPG,2026-02-10,VCI,HPG
HPG,2017,4,0.45,0.64,0.41,0.42,1.07,3.57,14.02,114.45,40.88,169.35,3.19,0.22,0.25,0.19,0.31,0.21,0.19,11626481720481.00,2838543824333,0.00,1.79,0.23,1.15,-21.02,1.64,81607749807400.00,1516872673.00,10.19,2.53,1.77,13.47,1579.36,21282.32,7.78,HPG,2026-02-10,VCI,HPG
