Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
HPG,2022,4,0.72,0.77,0.74,1.25,0.81,2.02,10.24,114.35,51.01,175.59,3.19,-0.08,-0.03,-0.08,0.09,0.08,0.05,19850316769753.00,-1944205854382,0.00,1.29,0.13,0.74,2.08,1.77,120075324705000,5814785700,14.15,1.25,0.85,9.78,-342.50,16510.91,8.76,HPG,2026-02-10,VCI
HPG,2022,3,0.80,0.87,0.73,1.28,0.85,2.28,11.01,127.34,59.40,197.75,2.87,0.00,0.03,-0.05,0.18,0.14,0.09,30048051910113.00,71321899736,0.00,1.34,0.16,0.73,-0.09,1.87,116004974715000,5814785700,6.48,1.18,0.72,5.54,-305.11,16847.27,5.65,HPG,2026-02-10,VCI
HPG,2022,2,0.84,1.08,0.70,1.30,0.88,2.37,12.85,134.59,68.30,215.74,2.71,0.15,0.17,0.11,0.32,0.20,0.16,40839396195249.00,5683293979952,0.00,1.28,0.22,0.67,-7.92,2.08,113388321150000,5814785700,3.78,1.14,0.69,6.95,693.44,17161.70,4.00,HPG,2026-02-10,VCI
HPG,2022,1,0.75,0.88,0.71,1.29,0.93,2.36,12.41,128.66,70.52,211.59,2.84,0.21,0.23,0.19,0.41,0.25,0.20,45678706657840.00,9267765847496,0.00,1.39,0.26,0.83,-15.53,1.88,129669721110000,5814785700,3.63,1.31,0.80,3.78,1413.11,16993.45,3.74,HPG,2026-02-10,VCI
HPG,2021,4,0.78,0.96,0.76,1.18,0.97,2.22,10.88,115.55,62.67,189.10,3.16,0.19,0.21,0.17,0.46,0.25,0.22,43746584056502.00,8367170140789,0.00,1.28,0.31,0.71,-13.29,1.96,193677553169800,4472922706,5.62,2.14,1.29,7.25,1660.53,20260.99,5.52,HPG,2026-02-10,VCI
HPG,2021,3,0.93,1.07,0.81,1.10,0.86,1.94,14.81,137.59,73.69,226.09,2.65,0.29,0.31,0.27,0.45,0.24,0.21,40973097690697.00,11042191518823,0.00,1.33,0.19,0.69,-16.36,2.07,196808599064000,4472922706,6.21,2.34,1.51,14.75,2314.31,18810.15,5.97,HPG,2026-02-10,VCI
HPG,2021,2,0.97,1.16,0.91,0.96,0.85,1.84,14.14,122.69,67.98,204.81,2.98,0.30,0.33,0.28,0.39,0.22,0.18,34262109926758.00,10692229101251,0.00,1.19,0.21,0.61,-17.83,2.16,254062009700800,4472922706,10.12,3.44,2.18,15.41,2173.39,16499.37,8.63,HPG,2026-02-10,VCI
HPG,2021,1,1.11,1.10,1.02,0.86,0.82,1.76,15.10,111.45,62.23,188.78,3.27,0.24,0.26,0.22,0.31,0.18,0.14,26492207628288.00,7562489000222,0.00,1.24,0.27,0.70,-12.17,2.10,201057875634700,4472922706,11.09,3.04,1.97,20.34,1559.95,14765.18,9.16,HPG,2026-02-10,VCI
HPG,2020,4,1.21,1.22,1.11,0.77,0.77,1.86,13.47,117.51,71.02,202.00,3.11,0.22,0.24,0.18,0.25,0.15,0.12,21898737562815.00,5769851557160,0.00,1.09,0.26,0.59,-8.72,2.22,182561874510900,3313282659,13.57,3.09,2.03,15.76,1399.78,17828.55,10.15,HPG,2026-02-10,VCI
HPG,2020,3,1.21,1.14,0.95,0.72,0.75,1.87,15.36,110.67,72.52,198.55,3.30,0.19,0.21,0.15,0.21,0.14,0.10,18025635069060.00,4707306083062,0.00,1.20,0.16,0.62,-8.70,2.14,129715016099850,3313282659,12.10,2.37,1.58,8.25,1138.66,16538.85,9.40,HPG,2026-02-10,VCI
